Date,Open,High,Low,Close
2024-06-01,100.25,102.50,99.75,101.80
2024-06-02,102.00,104.75,101.50,104.50
2024-06-03,104.75,106.25,103.50,105.20
2024-06-04,105.40,107.00,104.80,106.70
2024-06-05,106.80,108.25,105.90,107.90
2024-06-06,107.50,109.00,106.75,108.40
2024-06-07,108.60,110.50,107.80,109.70
2024-06-08,109.80,111.25,109.00,110.90
2024-06-09,111.00,112.75,110.50,112.10
2024-06-10,112.25,114.00,111.75,113.50
2024-06-11,113.60,115.25,112.50,114.90
2024-06-12,114.50,116.00,113.80,115.20
2024-06-13,115.40,117.50,114.90,116.80
2024-06-14,116.70,118.00,115.50,117.30
2024-06-15,117.00,119.25,116.80,118.20
2024-06-16,118.10,120.00,117.50,119.50
2024-06-17,119.75,121.50,118.60,120.80
2024-06-18,120.50,122.00,119.25,121.70
2024-06-19,121.90,123.00,120.60,122.30
2024-06-20,122.40,124.00,121.80,123.90
2024-06-21,123.50,125.75,122.00,124.60
2024-06-22,124.70,126.50,123.80,125.80
2024-06-23,125.60,127.00,124.00,126.40
2024-06-24,126.30,128.25,125.50,127.50
2024-06-25,127.80,129.00,126.60,128.70
2024-06-26,128.90,130.00,127.50,129.20
2024-06-27,129.50,131.25,128.80,130.40
2024-06-28,130.60,132.00,129.75,131.90
2024-06-29,131.40,133.50,130.20,132.10
2024-06-30,132.20,134.00,131.50,133.60
2024-07-01,133.80,135.25,132.90,134.80
2024-07-02,134.50,136.00,133.20,135.30
2024-07-03,135.20,137.00,134.50,136.60
2024-07-04,136.70,138.00,135.40,137.80
2024-07-05,137.50,139.25,136.60,138.90
2024-07-06,138.90,140.00,137.80,139.40
2024-07-07,139.70,141.50,138.50,140.80
2024-07-08,140.50,142.25,139.90,141.90
2024-07-09,141.20,143.00,140.00,142.70
2024-07-10,142.60,144.50,141.80,143.80
2024-07-11,143.40,145.00,142.50,144.90
2024-07-12,144.80,146.25,143.60,145.50
2024-07-13,145.50,147.00,144.40,146.20
2024-07-14,146.70,148.00,145.10,147.80
2024-07-15,147.80,149.25,146.50,148.90
2024-07-16,148.50,150.00,147.80,149.70
2024-07-17,149.60,151.25,148.50,150.40
2024-07-18,150.80,152.50,149.70,151.90
2024-07-19,151.40,153.00,150.00,152.60
2024-07-20,152.70,154.00,151.10,153.80
2024-07-21,153.20,155.25,152.50,154.90
